,"('PLANES DE PREVENCIÓN Y REDUCCIÓN DEL RIESGO DE DESASTRES', None)","('DESCARGA', None)"
64,"('Plan de prevención y reducción del riesgo de desastres del distrito de Independencia 2022 - 2025 (DISTRITO INDEPENDENCIA, PISCO, ICA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14361/descargar')"
65,"('Plan regional de prevención y reducción del riesgo de desastres de la región de Ayacucho 2022 - 2025 (DEPARTAMENTO AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14360/descargar')"
66,"('Plan de prevención y reducción del riesgo de desastres ante actividad eruptiva del volcán Misti, distrito de Alto Selva Alegre 2022 - 2026 (DISTRITO ALTO SELVA ALEGRE, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14616/descargar')"
67,"('Plan de prevención y reducción del riesgo de desastres del distrito de Sondorillo 2022 - 2024 (DISTRITO SONDORILLO, HUANCABAMBA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14617/descargar')"
68,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Huanta 2022 - 2025 (PROVINCIA HUANTA, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14618/descargar')"
69,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Quispicanchi al 2024 (PROVINCIA QUISPICANCHI, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14620/descargar')"
70,"('Plan de prevención y reducción del riesgo de desastres frente a peligros de origen natural del distrito de Incahuasi, provincia de Ferreñafe, región Lambayeque 2023 - 2025 (DISTRITO INCAHUASI, FERREÑAFE, LAMBAYEQUE)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14619/descargar')"
71,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Yanatile al 2025 (DISTRITO YANATILE, CALCA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14520/descargar')"
72,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Yanama, provincia de Yungay, departamento de Ancash 2022-2024 (inundación pluvial y movimientos en masa) (DISTRITO YANAMA, YUNGAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14519/descargar')"
73,"('Plan de Prevención y Reducción del Riesgo de Desastres del distrito de Pichari 2022-2026 (DISTRITO PICHARI, LA CONVENCION, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14518/descargar')"
